City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
324,Road Town,VG,75.29,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
325,Samarai,PG,81.91,broken clouds,-10.6167,150.6667,Nuli Sapi
338,Laguna De Perlas,NI,77.09,broken clouds,12.3429,-83.6712,Hotel Best View
348,Marsh Harbour,BS,76.05,few clouds,26.5412,-77.0636,Abaco Beach Resort
352,Meulaboh,ID,77.09,moderate rain,4.1363,96.1285,Kost Pria
362,Caravelas,BR,76.59,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
363,Morondava,MG,80.78,light rain,-20.2833,44.2833,La Case Bambou
365,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
366,Sola,VU,77.59,overcast clouds,-13.8833,167.55,Leumerus Bungalows
369,Wenchi,GH,80.8,overcast clouds,7.7392,-2.1046,Ebenezer Hotel
380,Tucuma,BR,76.17,broken clouds,-0.1833,-50.05,
382,Kupang,ID,78.73,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
390,Colac,AU,79.02,overcast clouds,-38.3333,143.5833,Otway Gate Motel
400,Port Keats,AU,80.69,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
401,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
402,Barillas,GT,86.34,few clouds,15.8036,-91.3158,Hotel y Restaurant Bella Estancia
409,Ambulu,ID,75.83,light rain,-8.345,113.6058,Hotel Ambulu Jember
411,Buckeye,US,84.97,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
413,Forbes,AU,76.91,clear sky,-33.3833,148.0167,Lake Forbes Motel
414,Jacareacanga,BR,75.02,moderate rain,-6.2222,-57.7528,Casa do Ian😎
425,Laguna,US,79.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
427,Sao Jose Da Coroa Grande,BR,80.51,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
433,Loanda,AO,76.71,scattered clouds,-8.8368,13.2343,Hotel Fórum
440,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
443,Vao,NC,80.38,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
452,Daru,PG,83.37,clear sky,-9.0763,143.2092,Daru Lodge
454,Bousse,BF,78.37,clear sky,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
460,Dicabisagan,PH,75.31,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
464,Sapele,NG,79.16,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
477,Nhulunbuy,AU,84.81,clear sky,-12.2333,136.7667,East Arnhem Real Estate
