City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
128,Egvekinot,RU,66.3167,-179.1667,-17.25,88,16,6.78,few clouds
129,Pevek,RU,69.7008,170.3133,-21.68,98,100,8.75,overcast clouds
130,Georgetown,MY,5.4112,100.3354,79.9,84,20,5.75,few clouds
131,Tual,ID,-5.6667,132.75,83.01,71,18,6.08,few clouds
132,Komsomolskiy,UZ,40.4272,71.7189,38.62,93,100,4.61,fog
133,Cherskiy,RU,68.75,161.3,-19.25,98,100,10.07,overcast clouds
134,Pierre,US,44.3683,-100.351,33.85,52,100,12.66,overcast clouds
135,Tautira,PF,-17.7333,-149.15,87.82,74,94,15.08,light rain
136,Esperance,AU,-33.8667,121.9,64.24,59,85,8.68,overcast clouds
137,Asfi,MA,32.2994,-9.2372,56.66,85,34,12.68,scattered clouds
138,Hamilton,US,39.1834,-84.5333,30.4,77,100,10.36,overcast clouds
139,Aklavik,CA,68.2191,-135.0107,-17.68,75,75,5.75,broken clouds
140,Saint-Leu,RE,-21.15,55.2833,77.83,76,4,2.89,clear sky
141,Rudnogorsk,RU,57.2639,103.7519,-29.61,100,100,2.59,overcast clouds
142,Suntar,RU,62.1444,117.6319,-27.87,100,99,2.8,overcast clouds
143,Novyye Gorki,RU,56.7253,41.0601,17.76,94,88,8.84,snow
144,Saint George,US,37.1041,-113.5841,70.27,10,0,5.75,clear sky
145,Carnarvon,AU,-24.8667,113.6333,80.67,69,40,5.75,scattered clouds
146,Nanortalik,GL,60.1432,-45.2371,30.02,96,100,11.5,snow
147,Birao,CF,10.2849,22.7882,69.4,11,66,6.58,broken clouds
148,Zhanaozen,KZ,43.3,52.8,40.05,79,99,10.58,overcast clouds
149,Lorengau,PG,-2.0226,147.2712,81.86,77,97,1.79,overcast clouds
150,Pechenga,RU,69.5259,31.1703,0.46,94,11,6.49,few clouds
151,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,-0.74,89,100,9.42,overcast clouds
152,Deputatskiy,RU,69.3,139.9,-9.54,94,100,5.88,overcast clouds
153,Luderitz,NA,-26.6481,15.1594,72.77,69,6,8.14,clear sky
154,Tura,IN,25.5198,90.2201,53.53,76,0,4.41,clear sky
155,Turukhansk,RU,65.8167,87.9833,-12.84,82,1,8.37,clear sky
156,Salcininkai,LT,54.3,25.3833,27.91,79,39,10.31,scattered clouds
157,Podor,MR,16.6527,-14.9587,75.61,17,63,12.68,broken clouds
158,Beni Mazar,EG,28.4962,30.8029,55.11,41,0,4.52,clear sky
159,Fairbanks,US,64.8378,-147.7164,-0.69,74,100,0.0,overcast clouds
160,Ostrovnoy,RU,68.0531,39.5131,5.0,96,72,4.03,broken clouds
161,Smithers,CA,54.7804,-127.1743,37.72,56,40,0.0,scattered clouds
162,Zhangye,CN,38.9342,100.4517,23.49,87,99,0.6,overcast clouds
163,Ahipara,NZ,-35.1667,173.1667,68.58,72,75,20.07,broken clouds
164,Sept-Iles,CA,50.2001,-66.3821,32.52,95,100,5.99,overcast clouds
165,Salalah,OM,17.0151,54.0924,75.29,64,75,4.61,broken clouds
166,Talnakh,RU,69.4865,88.3972,-9.0,78,16,9.33,few clouds
167,Iguguno,TZ,-4.5697,34.6275,62.19,92,100,3.42,overcast clouds
168,Ixtapa,MX,20.7,-105.2,79.83,50,0,13.8,clear sky
169,Poykovskiy,RU,61.2333,73.3333,-8.82,83,0,11.18,clear sky
170,Kaitangata,NZ,-46.2817,169.8464,53.92,85,100,10.63,overcast clouds
171,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.01,99,91,1.21,light rain
172,Umm Lajj,SA,25.0213,37.2685,67.08,25,0,16.44,clear sky
173,Taperoa,BR,-7.2075,-36.8267,76.98,63,98,1.9,overcast clouds
174,Bengkulu,ID,-3.8004,102.2655,75.22,83,96,3.96,light rain
175,Charters Towers,AU,-20.1,146.2667,78.48,60,0,13.96,clear sky
176,Pangnirtung,CA,66.1451,-65.7125,-16.33,100,100,5.39,overcast clouds
177,Padang,ID,-0.9492,100.3543,76.06,80,98,4.43,overcast clouds
178,Westport,US,41.1415,-73.3579,55.44,46,0,9.22,clear sky
179,Qandala,SO,11.472,49.8728,73.65,76,64,3.94,broken clouds
180,Kincardine,GB,56.0667,-3.7167,46.51,88,74,18.86,broken clouds
181,Acajutla,SV,13.5928,-89.8275,89.8,63,4,8.05,clear sky
182,Kruisfontein,ZA,-34.0033,24.7314,70.77,93,97,9.69,overcast clouds
