City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Yerazgavors,AM,2022-02-12 14:55:24,40.7,43.75,27.37,74,5,1.14
211,Saldanha,ZA,2022-02-12 14:55:25,-33.0117,17.9442,75.25,89,100,12.71
212,La Ronge,CA,2022-02-12 14:51:06,55.1001,-105.2842,-18.15,76,20,2.3
213,Kieta,PG,2022-02-12 14:55:25,-6.2167,155.6333,78.21,77,80,2.24
214,Pacific Grove,US,2022-02-12 14:53:00,36.6177,-121.9166,61.63,59,0,4.0
215,Broken Hill,AU,2022-02-12 14:55:26,-31.95,141.4333,74.91,23,0,4.61
216,High Level,CA,2022-02-12 14:55:27,58.5169,-117.136,-16.49,83,100,0.0
217,Camacha,PT,2022-02-12 14:55:27,33.0833,-16.3333,62.02,68,75,13.8
218,Upington,ZA,2022-02-12 14:55:28,-28.4478,21.2561,93.58,29,40,13.8
219,Lavrentiya,RU,2022-02-12 14:55:28,65.5833,-171.0,-19.93,92,15,7.2
220,Matadi,CD,2022-02-12 14:55:29,-5.8167,13.45,94.12,41,82,2.64
221,Basco,PH,2022-02-12 14:55:29,20.4487,121.9702,77.14,73,100,17.81
222,Manacapuru,BR,2022-02-12 14:55:30,-3.2997,-60.6206,82.98,66,100,3.53
223,Puerto Del Rosario,ES,2022-02-12 14:54:46,28.5004,-13.8627,69.55,64,20,12.66
224,Ndende,GA,2022-02-12 14:55:30,-2.4008,11.3581,84.65,71,73,1.48
225,Veraval,IN,2022-02-12 14:55:31,20.9,70.3667,71.92,56,2,9.84
226,Luau,AO,2022-02-12 14:55:31,-10.7073,22.2247,73.78,78,93,2.84
227,San Carlos Del Zulia,VE,2022-02-12 14:55:31,9.0,-71.9135,84.54,57,90,3.8
228,Dawlatabad,AF,2022-02-12 14:55:32,36.4141,64.9053,46.31,61,100,8.68
229,Ixtapa,MX,2022-02-12 14:55:32,20.7,-105.2,72.54,44,2,3.29
230,Katsuura,JP,2022-02-12 14:55:33,35.1333,140.3,42.91,56,100,3.18
231,Beidao,CN,2022-02-12 14:55:33,34.5686,105.8933,31.59,90,70,1.92
232,Nabire,ID,2022-02-12 14:55:34,-3.3667,135.4833,76.06,91,98,2.08
233,Port Hawkesbury,CA,2022-02-12 14:55:34,45.6169,-61.3485,48.15,75,0,10.36
234,Kattivakkam,IN,2022-02-12 14:55:35,13.2167,80.3167,81.07,77,21,11.72
235,Dong Hoi,VN,2022-02-12 14:55:35,17.4833,106.6,71.82,91,99,7.09
236,Umm Lajj,SA,2022-02-12 14:56:36,25.0213,37.2685,76.75,22,0,17.29
237,Carberry,CA,2022-02-12 14:56:36,49.8689,-99.3602,-7.37,96,57,8.39
238,Moerai,PF,2022-02-12 14:56:37,-22.4333,-151.3333,79.02,72,100,4.18
239,Port Elizabeth,ZA,2022-02-12 14:56:16,-33.918,25.5701,79.09,78,0,18.41
240,Prince Rupert,CA,2022-02-12 14:54:13,54.3161,-130.3201,38.89,93,75,2.3
241,Banda Aceh,ID,2022-02-12 14:56:37,5.5577,95.3222,78.33,86,56,14.07
242,Padang,ID,2022-02-12 14:53:06,-0.9492,100.3543,78.64,81,99,4.14
243,Upata,VE,2022-02-12 14:56:38,8.0086,-62.3989,76.19,63,100,7.61
244,Cap-Aux-Meules,CA,2022-02-12 14:56:38,47.3821,-61.8597,37.45,87,100,21.85
245,Chokurdakh,RU,2022-02-12 14:56:39,70.6333,147.9167,-2.18,96,100,13.6
246,Arona,ES,2022-02-12 14:56:39,28.0996,-16.681,66.72,67,20,13.8
247,Santana Do Mundau,BR,2022-02-12 14:53:15,-9.1681,-36.2222,87.78,37,57,7.49
248,Clyde River,CA,2022-02-12 14:56:40,70.4692,-68.5914,-18.17,76,100,27.63
249,Sandpoint,US,2022-02-12 14:53:10,48.2766,-116.5533,23.74,93,0,0.0
250,Boguchany,RU,2022-02-12 14:56:41,58.3814,97.4531,-17.39,100,21,3.02
251,Storsteinnes,NO,2022-02-12 14:56:41,69.2408,19.2344,23.0,89,47,4.52
252,Shelburne,CA,2022-02-12 14:56:42,44.0787,-80.2041,18.55,84,89,15.46
253,East London,ZA,2022-02-12 14:53:03,-33.0153,27.9116,81.54,83,75,16.11
254,Gimli,CA,2022-02-12 14:56:42,50.6336,-96.9907,-14.87,75,100,5.75
255,Tres Arroyos,AR,2022-02-12 14:56:43,-38.3739,-60.2798,67.35,36,0,6.96
256,Marzuq,YE,2022-02-12 14:56:43,14.4,46.4667,71.64,46,1,7.16
257,Samarai,PG,2022-02-12 14:56:44,-10.6167,150.6667,80.42,67,100,7.52
258,Sooke,CA,2022-02-12 14:56:44,48.3746,-123.7276,44.58,85,10,13.8
259,Port Lincoln,AU,2022-02-12 14:53:27,-34.7333,135.8667,68.38,68,100,8.61
260,Narasannapeta,IN,2022-02-12 14:56:45,18.4167,84.05,70.92,71,28,4.83
261,Vanimo,PG,2022-02-12 14:56:46,-2.6741,141.3028,77.52,88,87,6.06
262,General Roca,AR,2022-02-12 14:56:46,-39.0333,-67.5833,75.6,18,61,14.85
263,Laguna,US,2022-02-12 14:54:17,38.421,-121.4238,64.9,94,0,0.0
264,Balkhash,KZ,2022-02-12 14:56:47,46.844,74.9804,14.47,92,8,12.41
265,Talnakh,RU,2022-02-12 14:55:14,69.4865,88.3972,-9.17,79,55,10.09
266,La Carolina,ES,2022-02-12 14:56:47,38.2756,-3.6153,63.45,40,28,7.4
267,Komsomolskiy,UZ,2022-02-12 14:56:48,40.4272,71.7189,40.42,87,100,2.3
268,Yashan,CN,2022-02-12 14:56:48,22.1975,109.9419,64.27,86,100,2.48
269,Faanui,PF,2022-02-12 14:56:37,-16.4833,-151.75,79.74,76,71,13.49
270,Tromso,NO,2022-02-12 14:56:49,69.6496,18.957,23.02,74,40,11.5
271,Coahuayana,MX,2022-02-12 14:56:49,18.7333,-103.6833,76.08,40,69,5.14
272,Ust-Ilimsk,RU,2022-02-12 14:56:50,58.0006,102.6619,-20.0,100,74,1.88
273,Russell,US,2022-02-12 14:56:50,32.3502,-85.1999,53.31,70,99,2.8
274,Pachino,IT,2022-02-12 14:56:50,36.7186,15.0907,60.84,71,100,2.91
275,Ilulissat,GL,2022-02-12 14:55:14,69.2167,-51.1,31.15,70,100,15.68
276,Naryan-Mar,RU,2022-02-12 14:56:51,67.6713,53.087,12.15,93,97,13.35
277,Mabaruma,GY,2022-02-12 14:56:52,8.2,-59.7833,79.9,69,87,6.11
278,Batagay,RU,2022-02-12 14:56:52,67.6333,134.6333,-31.77,98,87,3.15
279,Altamira,BR,2022-02-12 14:56:53,-3.2033,-52.2064,75.29,94,100,3.44
280,Rio Grande,BR,2022-02-12 14:57:53,-32.035,-52.0986,82.51,66,21,13.13
281,Panaba,MX,2022-02-12 14:57:54,21.2833,-88.2667,78.58,69,22,9.73
282,Sundargarh,IN,2022-02-12 14:57:54,22.1167,84.0333,67.89,25,9,2.04
283,Kyra,RU,2022-02-12 14:57:55,49.5776,111.9753,-12.35,99,100,3.67
284,Peleduy,RU,2022-02-12 14:57:55,59.6289,112.7406,-22.83,100,50,1.03
285,Cayenne,GF,2022-02-12 14:57:56,4.9333,-52.3333,80.64,90,75,10.36
286,Rawson,AR,2022-02-12 14:57:56,-43.3002,-65.1023,76.75,22,92,3.94
287,Arraial Do Cabo,BR,2022-02-12 14:57:08,-22.9661,-42.0278,82.36,83,40,11.5
288,Maiduguri,NG,2022-02-12 14:57:57,11.8464,13.1603,88.61,14,100,11.79
289,Saskylakh,RU,2022-02-12 14:57:57,71.9167,114.0833,1.09,77,38,13.94
290,Neepawa,CA,2022-02-12 14:57:58,50.2289,-99.4664,-7.2,89,35,7.81
291,Hasaki,JP,2022-02-12 14:57:58,35.7333,140.8333,30.6,58,18,7.31
292,Staunton,US,2022-02-12 14:57:59,38.1496,-79.0717,54.48,31,0,6.91
293,Pavlovsk,RU,2022-02-12 14:57:59,50.4578,40.1081,28.8,98,100,3.91
